date,filter,number,duration
2025-07-08,4657,20,300.0
2025-07-08,4838,30,300.0
2025-07-08,4746,23,300.0
2025-08-01,4838,38,300.0
2025-08-01,4746,38,300.0
2025-07-12,4838,34,300.0
2025-07-12,4657,33,300.0
2025-07-10,4657,24,300.0
2025-07-10,4838,25,300.0
2025-07-10,4746,27,300.0
2025-07-28,4746,30,300.0
2025-07-28,4838,37,300.0
2025-07-28,4657,15,300.0
2025-07-30,4746,75,300.0
2025-07-30,4838,7,300.0
2025-07-22,3007,37,120.0
2025-07-22,3011,24,120.0
2025-07-22,3008,22,120.0
2025-07-22,3012,37,120.0
2025-07-29,4746,82,300.0
2025-07-14,4657,31,300.0
2025-07-14,4838,35,300.0
2025-07-31,4746,37,300.0
2025-07-31,4838,40,300.0
2025-07-27,4657,10,300.0
2025-07-27,4838,10,300.0
2025-07-27,4746,17,300.0
2025-07-20,4657,32,300.0
2025-07-20,4838,30,300.0
2025-07-19,4838,40,300.0
2025-07-19,4657,40,300.0
2025-07-21,3007,20,120.0
2025-07-21,3012,19,120.0
2025-07-21,3011,11,120.0
2025-07-21,3008,17,120.0
2025-07-11,4657,26,300.0
2025-07-11,4746,24,300.0
2025-07-11,4838,22,300.0
2025-07-17,4657,39,300.0
2025-07-17,4838,38,300.0
2025-07-18,4657,40,300.0
2025-07-18,4838,38,300.0
